Frame,t1_pitch,t1_yaw,t1_roll
1,-2.8805977996423544,11.458302242273032,2.6127073760703445
2,-6.223132294587746,11.072834077935735,2.519755549070828
3,-6.3643847680084304,11.26347475735781,2.535876932738955
4,-6.55584537712517,10.171639864488219,2.4493473112677964
5,-6.258082930507369,10.592772190687711,2.467663285910131
6,-5.6185986257590805,11.138194578112227,2.5305901745452153
7,-5.7101308159931925,10.928747356260637,2.5127809784938275
8,-5.7619628725302885,10.711886511260042,2.473855730051189
9,-6.937399364516397,10.421039107754266,2.424711436208321
10,-7.71182636345478,10.348166940166713,2.4758533379766434
11,-7.9127792342050425,9.694161368022439,2.4040425366257367
12,-8.119459199698252,9.372315582787534,2.358382951465854
13,-8.280788227113645,9.345717084479212,2.3905800878166485
14,-8.93885335546548,9.024196106546597,2.367653123922412
15,-7.8022589102399875,9.146636818069423,2.3132823109808043
16,-8.859262939398597,8.590676123939193,2.310902483789504
17,-8.773930566340184,8.721609775491181,2.309793670419788
18,-7.869957150370902,9.556768357152638,2.3380346196842816
19,-8.31688789566193,9.602706732026569,2.3546634376973983
20,-8.08380310636895,9.04983096149164,2.3303050093436735
21,-8.175507907137623,9.905368184984672,2.390568914960608
22,-9.015544805096846,10.501590975731364,2.497347449162884
23,-8.511175714592797,12.17936759455602,2.6730696067287023
24,-7.0824237607838,14.882255935790713,2.8890762359096116
25,-6.85383621515087,18.02386132524309,3.197037230397721
26,-5.093403391491661,20.937675198873432,3.500455565144038
27,-4.651295723896913,22.740071810989548,3.622971987201168
28,-4.500980600612417,24.704466630244152,3.87989128500097
29,-4.9784260434308365,26.09888323157643,4.103254850788241
30,-4.687499895701369,26.946818335838373,4.180994307894035
31,-2.8305932736425645,26.53974081540951,3.9829214491527205
32,-2.4259528691411454,27.16755831771589,3.941630283534737
33,-1.2181175445296735,26.942584480832384,3.7539276303549993
34,-0.7389320910314501,27.012716556822866,3.609458404741688
35,-1.8293409012962973,27.7476796138461,3.7244002025469496
36,-0.8217825308137352,27.69165794771163,3.6193781620328362
37,-1.6052785474935147,27.317593417358342,3.505938455575431
38,-2.087432256752435,27.717757384854107,3.542344163100055
39,-2.411919532496284,27.964560543515173,3.6486006183604776
40,-2.2203116227831377,28.89036789125975,3.7864397555594502
41,-2.759030141168704,28.37456857786889,3.704440042197587
42,-3.52623510787254,28.019390637941786,3.668445394699772
43,-4.135635967927585,27.634423779096938,3.916402532744367
44,-5.328019812259268,27.693790786486474,3.9118664762412054
45,-7.452548884148395,24.837415113137638,3.787196732408081
46,-8.61165688019063,22.370412249636782,3.630362917016187
47,-9.778721304548247,20.41360420755893,3.4381674350916303
48,-10.010864377705367,16.593851821180362,3.1171199476066676
49,-10.48347427652893,11.545858391787853,2.6046661492309315
50,-11.28935674906038,6.5167459579205085,2.1424983775211786
51,-11.3232506012611,3.5076058556676344,1.829567376534501
52,-9.913679948278624,-0.7203204964773586,1.4903871983234998
53,-6.71753015701146,-3.0797556822730336,1.1873879069997972
54,-5.925566176282433,-7.579860960370565,0.8357462440988415
55,-7.526165835228484,-11.149269493017021,0.5093327761463556
56,-6.951290404773252,-13.984285172020648,0.315813779925532
57,-6.853752208712179,-15.859262691258918,0.13492030237269342
58,-4.529968820944876,-17.22297724186952,0.018587728460539216
59,-5.431995452318736,-17.309782287926094,0.01900893557633704
60,-5.833909059356432,-16.269656554044705,0.1330127011422809
61,-5.547570144883396,-16.12669712066547,0.15356806952784366
62,-5.635864317227391,-13.774814224554245,0.3675423993283888
63,-6.038742759369485,-13.190879015970745,0.5262394062982341
64,-8.67698024100466,-9.422235052256699,0.7827572363188138
65,-11.728815564663316,-5.666336744445178,1.086561759001664
66,-12.712952451434438,-2.975484379529711,1.3387062054232648
67,-14.469484110789113,0.3001927165157938,1.598082054502393
68,-13.060260170428686,5.889662082535065,2.0733516115194646
69,-12.972728564974451,10.903290326382278,2.501112858182727
70,-11.857075801257688,16.07003232042108,3.027876525181548
71,-11.444521642273823,18.636451229923264,3.2850484335243717
72,-10.794565175441534,21.464177159070065,3.473421857951321
73,-10.368777346575262,22.986435469205624,3.736684143178586
74,-9.077231203566404,24.864838485656378,3.8391103683407577
75,-8.052672430205732,26.46724755233916,3.9893068336285324
76,-6.3930315016500705,26.707933370238308,3.9081247684604046
77,-5.63406933216114,27.326027541781556,3.894831554167029
78,-5.466477809269497,27.050909128643415,3.7487179257547503
79,-4.054122557865186,27.260454836574272,3.7701673228712793
80,-2.9689539949908603,27.888288156873195,3.8481316395443868
81,-2.6756547073771437,28.252287027103655,3.886737268449309
82,-2.3415034025920884,28.497917489453005,3.881499979381752
83,-3.4665363390887363,27.480897714823996,3.7495652764107668
84,-3.511990268972249,27.58002766558073,3.7211884155309582
85,-4.7236297402329175,27.45647949730926,3.811130764083996
86,-4.213582684988641,27.993451830769605,3.810684468752871
87,-5.849181580561847,26.274461394567044,3.7334905187582703
88,-8.07315276615125,24.07633590920274,3.678719137600081
89,-9.796848613114209,21.701638318451984,3.576034897903485
90,-12.51381348058545,18.876819378702603,3.3314403246572213
91,-11.579801353126854,13.258277281196321,2.77431606054977
92,-13.702692728963612,7.196364081637291,2.235165778965529
93,-13.096397058642076,3.7783952208922793,1.8578767649746304
94,-11.467520731784681,-0.011230919152698643,1.5005182639325754
95,-8.433758707871053,-3.6694340290806275,1.1646521482314576
96,-6.246894779510139,-6.833760852820945,0.8853038065965784
97,-8.244799184465622,-9.756957983911214,0.6039049688392244
98,-8.541890596130061,-14.197071945143785,0.26103321861786594
99,-8.764356574730899,-18.280191376714715,-0.03364562318982733
100,-8.685597388080685,-20.59730996362111,-0.21852589789433263
101,-8.652088145294488,-22.684583253451677,-0.39395351462154193
102,-10.16096642988131,-22.888831567948273,-0.4359035393934556
103,-9.275326648011731,-22.96884309607054,-0.3676050615989454
104,-9.882703762495616,-22.781887947665926,-0.3256937252468437
105,-8.51638943686972,-21.764400694829945,-0.28398044450286714
106,-6.716890029161826,-21.61556915763739,-0.2514522438336122
107,-6.106007496360202,-22.267578731980212,-0.27684063876683324
108,-6.961229694181477,-21.591835317884566,-0.18119937447288195
109,-6.025901733644281,-20.367220501494497,-0.060491869074840734
110,-4.726340592583688,-20.095572045041507,-0.0691232255460721
111,-4.856657299807115,-18.902438152966734,0.057578211301027596
112,-5.912835075921242,-18.22129098081828,0.14984139498224464
113,-5.29071019119595,-17.127179459222805,0.2568050147196546
114,-3.6720788639809863,-14.035077393912962,0.5546446010349223
115,-6.225109608742332,-12.262242758341953,0.7249680596908756
116,-7.142866729339302,-12.261997623425543,0.7663294876802164
